date,stock1,stock2,stock3,stock4,lot1,lot2,lot3,lot4,value1,value2,value3,value4,stock_value_total,cash,accrued_fee,nav,is_rebalance,is_payfee
2020-09-29,851607,2572066,497280,2572067,19,8,11,15,50671.4002,49682.289600000004,47047.0,47599.5945,195000.2843,5321.345398149177,58.37922890657261,200263.2504692426,False,False
2020-09-30,4572,851607,2572066,1232815,27,18,8,2,49273.3314,48181.8834,49841.145599999996,34414.6522,181711.01260000002,19073.19159814917,58.65419579009212,200725.55000235906,True,False
2020-10-01,4572,851607,2572066,1232815,27,18,8,2,50872.2471,48997.9242,51382.0512,35264.152799999996,186516.3753,19073.19159814917,58.9357449855748,205530.6311531636,False,False
2020-10-02,4572,851607,2572066,1232815,27,18,8,2,50845.60079999999,47933.523,50540.113600000004,34207.216,183526.4534,19073.19159814917,59.213198011949,202540.4318001372,False,False
2020-10-03,4572,851607,2572066,1232815,27,18,8,2,50845.60079999999,47933.523,50540.113600000004,34207.216,183526.4534,19073.19159814917,59.49065065825055,202540.15434749087,False,False
2020-10-04,4572,851607,2572066,1232815,27,18,8,2,50845.60079999999,47933.523,50540.113600000004,34207.216,183526.4534,19073.19159814917,59.76810292447999,202539.87689522465,False,False
2020-10-05,4572,851607,2572066,1232815,27,18,8,2,53164.0314,48518.9442,51596.50719999999,35372.809799999995,188652.2926,19073.19159814917,60.05257650817208,207665.43162164098,False,False
2020-10-06,4572,851607,2572066,1232815,27,18,8,2,53537.112,48075.444,50754.5696,35062.6434,187429.76900000003,19073.19159814917,60.33537501231132,206442.62522313686,False,False
2020-10-07,4572,851607,2572066,1232815,27,18,8,2,56201.976899999994,48572.1648,52271.6464,35813.364799999996,192859.1529,19073.19159814917,60.62561064124712,211871.71888750792,False,False
2020-10-08,4572,851607,2572066,1232815,27,18,8,2,56148.6789,48554.424,52311.3608,36251.944200000005,193266.4079,19073.19159814917,60.916403756161515,212278.683094393,False,False
2020-10-09,4572,851607,2572066,1232815,27,18,8,2,57028.0824,49068.883799999996,53399.5256,36874.2528,196370.74459999998,19073.19159814917,61.21144898875657,215382.72474916044,False,False
2020-10-10,4572,851607,2572066,1232815,27,18,8,2,57028.0824,49068.883799999996,53399.5256,36874.2528,196370.74459999998,19073.19159814917,61.50649381718008,215382.42970433203,False,False
2020-10-11,4572,851607,2572066,1232815,27,18,8,2,57028.0824,49068.883799999996,53399.5256,36874.2528,196370.74459999998,19073.19159814917,61.80153824143259,215382.13465990775,False,False
2020-10-12,4572,851607,2572066,1232815,27,18,8,2,55855.5426,49530.124800000005,54813.3464,37524.2194,197723.23320000002,19073.19159814917,62.098434985624245,216734.32636316356,False,False
2020-10-13,4572,851607,2572066,1232815,27,18,8,2,55669.0023,49547.865600000005,55599.6848,37411.6112,198228.16389999999,19073.19159814917,62.39602300899844,217238.95947514015,False,False
2020-10-14,4572,851607,2572066,1232815,27,18,8,2,56335.21920000001,49086.6246,54718.0328,37214.053,197353.92960000003,19073.19159814917,62.69241304348493,216364.4287851057,False,False
